game_no,game_date,used_word
568,01-08-2023,opera
567,01-07-2023,lemon
566,01-06-2023,belie
565,01-05-2023,sleek
564,01-04-2023,layer
563,01-03-2023,antic
562,01-02-2023,skirt
561,01-01-2023,whine
560,12-31-2022,manly
559,12-30-2022,molar
558,12-29-2022,havoc
557,12-28-2022,impel
556,12-27-2022,condo
555,12-26-2022,judge
554,12-25-2022,extra
553,12-24-2022,poise
552,12-23-2022,aorta
551,12-22-2022,excel
550,12-21-2022,lunar
549,12-20-2022,third
548,12-19-2022,slate
547,12-18-2022,taper
546,12-17-2022,chord
545,12-16-2022,probe
544,12-15-2022,rival
543,12-14-2022,usual
542,12-13-2022,spoke
541,12-12-2022,apply
540,12-11-2022,naive
539,12-10-2022,knock
538,12-09-2022,braid
537,12-08-2022,infer
536,12-07-2022,joust
535,12-06-2022,amber
534,12-05-2022,woken
533,12-04-2022,adore
532,12-03-2022,torso
531,12-02-2022,chafe
530,12-01-2022,eject
529,11-30-2022,study
528,11-29-2022,undue
527,11-28-2022,tepid
526,11-27-2022,happy
525,11-26-2022,clean
524,11-25-2022,itchy
523,11-24-2022,feast
522,11-23-2022,drive
521,11-22-2022,prime
520,11-21-2022,axiom
519,11-20-2022,brave
518,11-19-2022,avert
517,11-18-2022,glyph
516,11-17-2022,there
515,11-16-2022,baker
514,11-15-2022,snarl
513,11-14-2022,maple
512,11-13-2022,inane
511,11-12-2022,valet
510,11-11-2022,medal
509,11-10-2022,unite
508,11-09-2022,rainy
507,11-08-2022,spell
506,11-07-2022,begin
505,11-06-2022,stale
504,11-05-2022,dream
503,11-04-2022,photo
502,11-03-2022,aloud
501,11-02-2022,inept
500,11-01-2022,piney
499,10-31-2022,aptly
498,10-30-2022,waltz
497,10-29-2022,libel
496,10-28-2022,sneak
495,10-27-2022,carry
494,10-26-2022,flout
493,10-25-2022,foggy
492,10-24-2022,fault
491,10-23-2022,mummy
490,10-22-2022,spiel
489,10-21-2022,grove
488,10-20-2022,denim
487,10-19-2022,quirk
486,10-18-2022,exist
485,10-17-2022,stein
484,10-16-2022,spade
483,10-15-2022,catch
482,10-14-2022,floor
481,10-13-2022,equal
480,10-12-2022,ionic
479,10-11-2022,valid
478,10-10-2022,enjoy
477,10-09-2022,howdy
476,10-08-2022,vigor
475,10-07-2022,dandy
474,10-06-2022,sloth
473,10-05-2022,marsh
472,10-04-2022,bough
471,10-03-2022,sting
470,10-02-2022,twine
469,10-01-2022,leave
468,09-30-2022,scorn
467,09-29-2022,scald
466,09-28-2022,usurp
465,09-27-2022,soggy
464,09-26-2022,brisk
463,09-25-2022,admit
462,09-24-2022,grate
461,09-23-2022,glory
460,09-22-2022,saint
459,09-21-2022,recap
458,09-20-2022,alike
